name,location,main_cuisine,rate,votes,approx_cost(for two people),rest_type
Ganesh Grand,Basavanagudi,Indian,3.7,32,300.0,Quick Bites
Kadala Tarangaa,Basavanagudi,Indian,3.7,50,300.0,Quick Bites
Basavanagudi Mylari,Basavanagudi,Indian,4.0,53,300.0,Quick Bites
Mulabagilu Dosa,Basavanagudi,Indian,3.6,13,100.0,Quick Bites
New Modern Hotel,Basavanagudi,Indian,4.2,280,150.0,Quick Bites
Sri Krishna Veg,Basavanagudi,Indian,3.5,4,100.0,Quick Bites
Shrinidhi Military Hotel,Basavanagudi,Indian,3.3,8,300.0,Quick Bites
New Udupi Anand Bhavan,Basavanagudi,Indian,3.5,5,150.0,Quick Bites
Hotel Janatha,Basavanagudi,Indian,4.1,52,150.0,Quick Bites
Dakshin Kitchen,Basavanagudi,Indian,3.6,16,100.0,Quick Bites
New Shanthi Sagar,Basavanagudi,Indian,2.7,51,600.0,Quick Bites
Shree Venkateshwara North Karnataka Hotel,Basavanagudi,Indian,4.0,65,200.0,Quick Bites
Faasos,Jayanagar,Indian,3.4,6,500.0,Quick Bites
Shreyas Upahar & Burger Point,Basavanagudi,Indian,3.2,10,200.0,Quick Bites
Sri Krishna Darshini,Basavanagudi,Indian,3.1,4,200.0,Quick Bites
Kamat Minerva,Basavanagudi,Indian,2.6,72,300.0,Quick Bites
Juice Junction Food Court,Basavanagudi,Indian,3.8,57,200.0,Quick Bites
Kesar Rajasthani Parotha Point,Basavanagudi,Indian,3.9,34,200.0,Quick Bites
Kholi Mane,Basavanagudi,Indian,3.6,46,450.0,Quick Bites
Inchara Restaurant,Basavanagudi,Indian,3.3,4,300.0,Quick Bites
Sri Idli Mane,Basavanagudi,Indian,3.7,16,150.0,Quick Bites
Chamarajpet Non Veg Restaurant,Basavanagudi,Indian,3.6,13,200.0,Quick Bites
Sri Vasavi Mane Thindi,Basavanagudi,Indian,2.9,16,150.0,Quick Bites
New Banashankari Donne Biryani,Basavanagudi,Indian,3.5,13,300.0,Quick Bites
Uphara Kendra,Basavanagudi,Indian,3.6,34,100.0,Quick Bites
Hotel Girish,Basavanagudi,Indian,3.2,9,300.0,Quick Bites
Gowdru Military Hotel,Basavanagudi,Indian,3.3,6,150.0,Quick Bites
50-50 EATING HOUSE,Basavanagudi,Indian,3.2,4,100.0,Quick Bites
Chamrajpet Kabab Junction,Basavanagudi,Indian,3.2,4,250.0,Quick Bites
Swarga Ruchi,Basavanagudi,Indian,3.3,12,200.0,Quick Bites
Rajastani Rasoi,Basavanagudi,Indian,3.2,6,100.0,Quick Bites
